"Tanggal","temp_avg","hum_avg","wind_avg","rainfall","sunshine"
"09-10-2014","27.4","67","3","11.4","8"
"10-10-2014","27.7","59","3","0","8"
"11-10-2014","26.5","62","4","0","8"
"12-10-2014","26.3","67","3","0","7.2"
"13-10-2014","25.6","80","2","0","6.6"
"14-10-2014","27","82","3","17.2","5.6"
"15-10-2014","26.2","82","2","0.7","6.4"
"16-10-2014","27.5","78","2","1.2","7.1"
"17-10-2014","27.1","74","2","0","7.6"
"18-10-2014","27.6","73","2","0","5.9"
"19-10-2014","27.1","74","3","0","5.7"
"20-10-2014","27.3","69","3","0","7.2"
"21-10-2014","27.7","68","3","0","6.7"
"22-10-2014","27.1","74","3","0","5.5"
"23-10-2014","26.3","76","2","0","6"
"24-10-2014","27.5","70","3","7.5","7.7"
"25-10-2014","26.2","77","3","0","7.4"
"26-10-2014","25.7","84","2","26.7","7"
"27-10-2014","27.1","79","2","93.7","7"
"28-10-2014","26.1","82","3","0","7.8"
"29-10-2014","26.9","82","2","12.4","6.2"
"30-10-2014","26.9","80","3","4.5","1.8"
"31-10-2014","26.6","80","2","0","6.1"
"01-11-2014","27.4","83","2","153","6.1"
"02-11-2014","27","83","2","26.5","7.2"
"03-11-2014","27.9","74","2","26.6","8"
"04-11-2014","27.3","75","2","0","7.3"
"05-11-2014","27.2","78","3","92.3","6.1"
"06-11-2014","26.7","77","3","0","7"
"07-11-2014","26.5","81","2","0","2.4"
"08-11-2014","26.6","81","2","0","5.8"
"09-11-2014","26.4","84","2","1.3","6.9"
"10-11-2014","26","85","3","42","4.6"
"11-11-2014","24.3","90","2","15.5","3"
"12-11-2014","25.4","82","2","0.7","3.9"
"13-11-2014","25.4","86","3","44.3","5.7"
"14-11-2014","26","86","2","28.2","3.8"
"15-11-2014","26.8","81","2","0","6.2"
"16-11-2014","26.2","86","2","0.5","4.1"
"17-11-2014","25.1","85","2","15.5","3"
"18-11-2014","26.1","82","2","1.3","3"
"19-11-2014","25.7","86","2","0.1","5.4"
"20-11-2014","25.9","87","2","77.8","6.4"
"21-11-2014","26.1","89","2","0.5","6.6"
"22-11-2014","26.9","84","2","45","5.8"
"23-11-2014","26.8","84","2","0","5.7"
"24-11-2014","25.5","89","3","0","4.4"
"25-11-2014","25.7","86","2","21.3","5.1"
"26-11-2014","26.3","85","2","16.7","3.2"
